Tag,Longitude,Latitude,Date
91732,33.89017,-1.21717,2010-02-17 14:00:00.000
91732,33.825829999999996,-1.18733,2010-02-17 20:00:00.000
91732,33.89017,-1.2166700000000001,2010-02-18 05:00:00.000
91732,33.89017,-1.2165,2010-02-18 08:00:00.000
91732,33.89017,-1.21717,2010-02-18 14:00:00.000
91732,33.8515,-1.16583,2010-02-18 20:00:00.000
91732,33.89,-1.21717,2010-02-19 05:00:00.000
91732,33.853,-1.15367,2010-02-19 08:00:00.000
91732,33.88633,-1.2125,2010-02-19 14:00:00.000
91732,33.82717,-1.16167,2010-02-19 20:00:00.000
91732,33.888329999999996,-1.2135,2010-02-20 05:00:00.000
91732,33.854,-1.1501700000000001,2010-02-20 08:00:00.000
91732,33.88,-0.9991700000000001,2010-02-20 14:00:00.000
91732,33.85067,-1.04767,2010-02-20 20:00:00.000
91732,33.867,-1.0635,2010-02-21 05:00:00.000
91732,33.86183,-1.03417,2010-02-21 08:00:00.000
91732,33.86717,-1.09417,2010-02-21 14:00:00.000
91732,33.87533,-1.13467,2010-02-21 20:00:00.000
91732,33.89,-1.2166700000000001,2010-02-22 05:00:00.000
91732,33.88633,-1.2126700000000001,2010-02-22 08:00:00.000
91732,33.89017,-1.21717,2010-02-22 14:00:00.000
91732,33.83533,-1.1661700000000002,2010-02-22 20:00:00.000
91732,33.887,-1.2126700000000001,2010-02-23 05:00:00.000
91732,33.83983,-1.1403299999999998,2010-02-23 08:00:00.000
91732,33.89,-1.21633,2010-02-23 14:00:00.000
91732,33.8065,-1.146,2010-02-23 20:00:00.000
91732,33.85233,-1.198,2010-02-24 05:00:00.000
91732,33.82933,-1.163,2010-02-24 08:00:00.000
91732,33.83933,-1.18067,2010-02-24 14:00:00.000
91732,33.8415,-1.1888299999999998,2010-02-24 20:00:00.000
91732,33.89,-1.21717,2010-02-25 05:00:00.000
91732,33.79417,-1.10133,2010-02-25 08:00:00.000
91732,33.988,-0.9893299999999999,2010-02-25 14:00:00.000
91732,33.89433,-1.04617,2010-02-25 20:00:00.000
91732,33.88633,-1.2125,2010-02-26 05:00:00.000
91732,33.89433,-1.187,2010-02-26 08:00:00.000
91732,33.84833,-1.2095,2010-02-26 14:00:00.000
91732,33.83533,-1.2148299999999999,2010-02-26 20:00:00.000
91732,33.887,-1.2126700000000001,2010-02-27 05:00:00.000
91732,33.83633,-1.1986700000000001,2010-02-27 08:00:00.000
91732,33.887170000000005,-1.2125,2010-02-27 14:00:00.000
91732,33.8305,-1.20367,2010-02-27 20:00:00.000
91732,33.887,-1.2125,2010-02-28 05:00:00.000
91732,33.84667,-1.19967,2010-02-28 08:00:00.000
91732,33.83567,-1.198,2010-02-28 14:00:00.000
91732,33.85933,-1.1926700000000001,2010-02-28 20:00:00.000
91732,33.85633,-1.2933299999999999,2010-03-01 05:00:00.000
91732,33.84533,-1.24583,2010-03-01 08:00:00.000
91732,33.90333,-1.2086700000000001,2010-03-01 14:00:00.000
91732,33.83617,-1.22717,2010-03-01 20:00:00.000
91732,33.88633,-1.2125,2010-03-02 05:00:00.000
91732,33.82367,-1.23417,2010-03-02 08:00:00.000
91732,33.86067,-1.31617,2010-03-02 14:00:00.000
91732,33.778,-1.2186700000000001,2010-03-02 20:00:00.000
91732,33.887170000000005,-1.2126700000000001,2010-03-03 05:00:00.000
91732,33.83483,-1.19317,2010-03-03 08:00:00.000
91732,33.887,-1.2125,2010-03-03 14:00:00.000
91732,33.8225,-1.1866700000000001,2010-03-03 20:00:00.000
91732,33.90333,-1.2086700000000001,2010-03-04 05:00:00.000
91732,33.85683,-1.167,2010-03-04 08:00:00.000
91732,33.826,-1.14683,2010-03-04 14:00:00.000
91732,33.80317,-1.17067,2010-03-04 20:00:00.000
91732,33.88967,-1.217,2010-03-05 05:00:00.000
91732,33.8455,-1.16517,2010-03-05 08:00:00.000
91732,33.90333,-1.2055,2010-03-05 14:00:00.000
91732,33.801,-1.1865,2010-03-05 20:00:00.000
91732,33.88967,-1.2168299999999999,2010-03-06 05:00:00.000
91732,33.8355,-1.17533,2010-03-06 08:00:00.000
91732,33.89,-1.21717,2010-03-06 14:00:00.000
91732,33.84167,-1.1765,2010-03-06 20:00:00.000
91732,33.89,-1.2166700000000001,2010-03-07 05:00:00.000
91732,33.84317,-1.172,2010-03-07 08:00:00.000
91732,33.89017,-1.21717,2010-03-07 14:00:00.000
91732,33.86417,-1.1315,2010-03-07 20:00:00.000
91732,33.89017,-1.21717,2010-03-08 05:00:00.000
91732,33.85133,-1.16567,2010-03-08 08:00:00.000
91732,33.83633,-1.2248299999999999,2010-03-08 14:00:00.000
91732,33.759170000000005,-1.2306700000000002,2010-03-08 20:00:00.000
91732,33.823,-1.31033,2010-03-09 05:00:00.000
91732,33.814,-1.29583,2010-03-09 08:00:00.000
91732,33.85267,-1.3218299999999998,2010-03-09 14:00:00.000
91732,33.7715,-1.2605,2010-03-09 20:00:00.000
91732,33.76233,-1.3259999999999998,2010-03-10 05:00:00.000
91732,33.65083,-1.34633,2010-03-10 08:00:00.000
91732,33.70133,-1.40867,2010-03-10 14:00:00.000
91732,33.636829999999996,-1.3298299999999998,2010-03-10 20:00:00.000
91732,33.70033,-1.40767,2010-03-11 05:00:00.000
91732,33.64333,-1.34033,2010-03-11 08:00:00.000
91732,33.59233,-1.27783,2010-03-11 14:00:00.000
91732,33.64717,-1.31083,2010-03-11 20:00:00.000
91732,33.69583,-1.4015,2010-03-12 05:00:00.000
91732,33.72783,-1.25783,2010-03-12 08:00:00.000
91732,33.89,-1.21717,2010-03-12 14:00:00.000
91732,33.854,-1.16333,2010-03-12 20:00:00.000
91732,33.87,-0.95567,2010-03-13 05:00:00.000
91732,33.96933,-0.76117,2010-03-13 08:00:00.000
91732,33.96433,-0.57633,2010-03-13 14:00:00.000
91732,33.90383,-0.54967,2010-03-13 20:00:00.000
91732,33.93183,-0.54667,2010-03-14 05:00:00.000
91732,33.864670000000004,-0.5093300000000001,2010-03-14 08:00:00.000
91732,33.8355,-0.486,2010-03-14 14:00:00.000
91732,33.89767,-0.53217,2010-03-14 20:00:00.000
91732,33.917,-0.54167,2010-03-15 05:00:00.000
91732,33.81333,-0.5660000000000001,2010-03-15 08:00:00.000
91732,33.92783,-0.55267,2010-03-15 14:00:00.000
91732,33.93867,-0.53567,2010-03-15 20:00:00.000
91732,33.929829999999995,-0.494,2010-03-16 05:00:00.000
91732,33.85067,-0.50467,2010-03-16 08:00:00.000
91732,33.700829999999996,-0.52083,2010-03-16 14:00:00.000
91732,33.77433,-0.494,2010-03-16 20:00:00.000
91732,33.9335,-0.545,2010-03-17 05:00:00.000
91732,33.83783,-0.742,2010-03-17 08:00:00.000
91732,33.85383,-0.77767,2010-03-17 14:00:00.000
